id_etudiant,matricule,nom,prenom,sexe,date_naissance,telephone,email,adresse,ville,region,pays,date_creation
a5d34273-c57b-4f39-8008-b958960579d7,ETU1000,Caron,Victor,Masculin,2000-09-17,771161954,tpetit@example.org,"8, boulevard de Perrier
08841 TeixeiraVille",Sédhiou,Kolda,Sénégal,2026-07-30 16:21:18.223532
fb5fc91d-cb8b-4eba-a44f-4020713316ab,ETU01001,Lebrun,Marine,1,2008-06-27,760100563,legermaryse@example.org,"61, avenue Benjamin Guillet
34825 Dias",Touba,Diourbel,Sénégal,2026-07-30 16:21:18.224015
f2594380-12b5-4956-abc3-8480b1025940,ETU1000,Legendre,Luce,0,1999-08-29,,jrobert@example.org,"rue Emmanuel Albert
49420 Louis",Malem Hodar,kaffrine,Sénégal,2026-07-30 16:21:18.224471
1c9453e0-7beb-4fa2-a52c-b173413fefa3,ETU01003,Charles,Hugues,,2007-08-26,761562589,evallee@example.com,"rue de Guibert
84571 Nicolas",Podor,Saint-Louis,Sénégal,2026-07-30 16:21:18.224920
40dffe2d-1a21-4b85-a36b-782411eecd9b,ETU01004,Perez,Pénélope,0,1999-06-23,+221782427744,wlemaitre@example.com,"5, chemin Joséphine Lefort
28601 Mathieudan",Kayar,Thiès,Sénégal,2026-07-30 16:21:18.225290
4413ab14-3a5c-4417-8f91-b75d24029070,ETU01005,Grégoire,Matthieu,Femme,2007-05-09,775409756,astriddupre@example.org,"51, chemin Juliette Schneider
23620 Saint Laurent-les-Bains",Salémata,Kédougou,Sénégal,2026-07-30 16:21:18.226263
fcfd460c-0f81-4146-8b4b-a4a016f723c5,ETU01006,Gilles,Susanne,0,2006-06-16,00221770947677,virginie56@example.org,"234, avenue Aurélie Jourdan
89761 Tessier-sur-Guibert",Touba,Diourbel,Sénégal,2026-07-30 16:21:18.227118
5717d7d6-7d14-4bc0-b329-9f55e04d799f,ETU1000,Marin,Thibaut,Masculin,1999-06-27,766087262,seguinmargot@example.com,"1, chemin Noël Hernandez
95758 De Oliveira",Mbacké,Diourbel,Sénégal,2026-07-30 16:21:18.227594
25f1f5f0-8bdd-4029-b1cd-63d04fc06bd9,ETU01008,Maillot,Louis,Masculin,2002-05-14,768797154,pierre14@example.com,"258, boulevard Faivre
09339 Sainte CapucineVille",Sédhiou,Kolda,Sénégal,2026-07-30 16:21:18.227881
241d198f-eff7-4893-b2e6-f1857fba33e6,ETU01009,Joly,Honoré,,2004-11-28,779029870,joseph85@example.net,"5, rue Martel
56730 Saint Luce",Foundiougne,Fatick,Sénégal,2026-07-30 16:21:18.228087
aef44789-b55a-4124-a669-3048cc05ff91,ETU01010,Laurent,Emmanuelle,Masculin,2002-11-07,780659703,christianehenry@example.com,"40, rue de Courtois
97472 Ruiz",Salémata,Kédougou,Sénégal,2026-07-30 16:21:18.228301
d59571a7-98f9-4fd8-a5d9-9e6618d1d142,ETU01011,Rémy,Alice,0,2027-07-30,709275435,mduval@example.org,"48, chemin Leroux
82951 Royer",Thiès,Thiès,Sénégal,2026-07-30 16:21:18.228466
afa40241-ee82-4dc5-b163-a4d74174c798,ETU01012,Lefort,Odette,F,1997-10-07,773936356,christinechretien@example.org,"24, rue Pons
14348 Clerc",Nioro du Rip,Kaolack,Sénégal,2026-07-30 16:21:18.228673
29aaeef6-bf00-4126-ba79-956e17fda94d,ETU01013,Berthelot,Susanne,Femme,2027-07-30,704160239,agnescollin@example.org,"2, rue de Royer
27969 Sainte Dominique-la-Forêt",Touba,Diourbel,Sénégal,2026-07-30 16:21:18.228885
b6f3ee4f-b88e-4d20-9164-8ca129ac2cb7,ETU01014,Samson,Christiane,Femme,2003-08-02,701163212,emilerolland@example.org,"17, chemin de Poulain
23974 Blanchard-sur-Gaudin",Ourossogui,Matam,Sénégal,2026-07-30 16:21:18.229094
5cf1a90d-d57d-4c7b-9d91-43139d52840e,ETU01015,Pruvost,Vincent,1,2000-10-22,00221770068237,esauvage@example.org,"19, rue Giraud
04503 Bouvet",Oussouye,Ziguinchor,Sénégal,2026-07-30 16:21:18.229280
00badf4a-3cdc-4159-b59d-a1df94abe9c4,ETU01016,Lefebvre,Richard,M,2005-12-19,704372683,dominique72@example.org,"15, boulevard Victor Gillet
32817 Morin",Bakel,Tambacounda,Sénégal,2026-07-30 16:21:18.229471
ec30b522-b8fa-40c2-acb3-1a55cf2ade33,ETU01017,Lefort,Geneviève,Femme,1996-07-15,774717392,celinaevrard@example.org,"84, rue de Bernard
58267 Seguin",Kébémer,Louga,Sénégal,2026-07-30 16:21:18.229677
32456857-3d2c-4060-b456-629407184be5,ETU01018,Boutin,Jules,,2005-02-18,+221782095493,eschmitt@example.net,"6, avenue Anne Roche
30550 Marchal-sur-Leduc",Birkelane,kaffrine,Sénégal,2026-07-30 16:21:18.229929
58b49a43-552b-404a-a6b9-938e235babd4,ETU1000,Aubert,Timothée,Masculin,2002-09-02,+221781146350,anne25@example.net,"7, rue Blanc
20559 Dufour",Meckhe,Thiès,Sénégal,2026-07-30 16:21:18.230116
42fdfeb9-13b2-40af-8472-c8c4705e1d6e,ETU01020,Le Goff,Léon,F,1996-03-08,786522411,celinapaul@example.com,"boulevard Matthieu Gautier
76715 Pinto",Kébémer,Louga,Sénégal,2026-07-30 16:21:18.230304
5f24b0ae-66bd-47b2-927c-40e57e2f4f73,ETU01021,Nguyen,Frédéric,F,2003-05-24,787891294,louise45@example.net,"93, rue Monique Bailly
43979 Besson-sur-Mer",Salémata,Kédougou,Sénégal,2026-07-30 16:21:18.230509
